Country,City,Id
Algeria,Algiers,DZA_ALGIERS
Algeria,Oran,DZA_ORAN
Angola,Luanda,AGO_LUANDA
Benin,Cotonou,BEN_COTONOU
Benin,Porto-Novo,BEN_PORTO_NOVO
Botswana,Gaborone,BWA_GABORONE
Burkina Faso,Ouagadougou,BFA_OUAGADOUGOU
Burundi,Bujumbura,BDI_BUJUMBURA
Cameroon,Douala,CMR_DOUALA
Cameroon,Yaounde,CMR_YAOUNDE
Central African Republic,Bangui,CAF_BANGUI
Chad,N'Djamena,TCD_N_DJAMENA
Congo,Brazzaville,COG_BRAZZAVILLE
Cote d'Ivoire,Yamoussoukro,CIV_YAMOUSSOUKRO
Democratic Republic of the Congo,Kinshasa,COD_KINSHASA
Egypt,Alexandria,EGY_ALEXANDRIA
Egypt,Cairo,EGY_CAIRO
Equatorial Guinea,Malabo,GNQ_MALABO
Eritrea,Asmara,ERI_ASMARA
Ethiopia,Addis Ababa,ETH_ADDIS_ABABA
Gabon,Libreville,GAB_LIBREVILLE
Ghana,Accra,GHA_ACCRA
Ghana,Kumasi,GHA_KUMASI
Guinea,Conakry,GIN_CONAKRY
Guinea-Bissau,Bissau,GNB_BISSAU
Kenya,Nairobi,KEN_NAIROBI
Lesotho,Maseru,LSO_MASERU
Liberia,Monrovia,LBR_MONROVIA
Libya,Banghazi,LBY_BANGHAZI
Libya,Tripoli,LBY_TRIPOLI
Madagascar,Antananarivo,MDG_ANTANANARIVO
Mali,Bamako,MLI_BAMAKO
Mauritania,Nouakchott,MRT_NOUAKCHOTT
Morocco,Casablanca,MAR_CASABLANCA
Morocco,Rabat,MAR_RABAT
Mozambique,Maputo,MOZ_MAPUTO
Namibia,Windhoek,NAM_WINDHOEK
Niger,Niamey,NER_NIAMEY
Nigeria,Abuja,NGA_ABUJA
Nigeria,Ibadan,NGA_IBADAN
Nigeria,Kaduna,NGA_KADUNA
Nigeria,Kano,NGA_KANO
Nigeria,Lagos,NGA_LAGOS
Nigeria,Maiduguri,NGA_MAIDUGURI
Nigeria,Port Harcourt,NGA_PORT_HARCOURT
Nigeria,Zaria,NGA_ZARIA
Rwanda,Kigali,RWA_KIGALI
Senegal,Dakar,SEN_DAKAR
Sierra Leone,Freetown,SLE_FREETOWN
Somalia,Mogadishu,SOM_MOGADISHU
South Africa,Cape Town,ZAF_CAPE_TOWN
South Africa,Durban,ZAF_DURBAN
South Africa,Johannesburg-Ekurhuleni,ZAF_JOHANNESBURG_EKURHULENI
South Africa,Port Elizabeth,ZAF_PORT_ELIZABETH
South Africa,Pretoria,ZAF_PRETORIA
South Africa,Vereeniging,ZAF_VEREENIGING
Sudan,Khartoum,SDN_KHARTOUM
Sudan,Khartoum-Umm Durman,SDN_KHARTOUM_UMM_DURMAN
Swaziland,Mbabane,SWZ_MBABANE
Tanzania,Dar es Salaam,TZA_DAR_ES_SALAAM
Tanzania,Dodoma,TZA_DODOMA
Togo,Lome,TGO_LOME
Tunisia,Tunis,TUN_TUNIS
Uganda,Kampala,UGA_KAMPALA
Zambia,Lusaka,ZMB_LUSAKA
Zimbabwe,Harare,ZWE_HARARE
