Country,City,Id
Australia,Canberra,AUS_CANBERRA
Bangladesh,Dhaka,BGD_DHAKA
Bhutan,Thimphu,BTN_THIMPHU
Brunei,Bandar Seri Begawan,BRN_BANDAR_SERI_BEGAWAN
Cambodia,Phnom Penh,KHM_PHNOM_PENH
China,Beijing,CHN_BEIJING
China,Chongqing,CHN_CHONGQING
China,Guangzhou,CHN_GUANGZHOU
China,Shanghai,CHN_SHANGHAI
China,Shenyang,CHN_SHENYANG
China,Shenzhen,CHN_SHENZHEN
China,Tianjin,CHN_TIANJIN
China,Wuhan,CHN_WUHAN
East Timor,Dili,TLS_DILI
Fiji,Suva,FJI_SUVA
Hong Kong,Hong Kong,HKG_HONG_KONG
India,Ahmedabad,IND_AHMEDABAD
India,Bangalore,IND_BANGALORE
India,Chennai,IND_CHENNAI
India,Delhi,IND_DELHI
India,Hyderabad,IND_HYDERABAD
India,Kolkata,IND_KOLKATA
India,Mumbai,IND_MUMBAI
India,New Delhi,IND_NEW_DELHI
Indonesia,Jakarta,IDN_JAKARTA
Japan,Nagoya,JPN_NAGOYA
Japan,Osaka,JPN_OSAKA
Japan,Tokyo,JPN_TOKYO
Laos,Vientiane,LAO_VIENTIANE
Macau,Macau,MAC_MACAU
Malaysia,Kuala Lumpur,MYS_KUALA_LUMPUR
Mongolia,Ulan Bator,MNG_ULAN_BATOR
Myanmar,Naypyidaw,MMR_NAYPYIDAW
Nepal,Kathmandu,NPL_KATHMANDU
New Caledonia,Noumea,NCL_NOUMEA
New Zealand,Wellington,NZL_WELLINGTON
North Korea,Pyongyang,PRK_PYONGYANG
Papua New Guinea,Port Moresby,PNG_PORT_MORESBY
Philippines,Manila,PHL_MANILA
Republic of China,Taipei,ROC_TAIPEI
Singapore,Singapore,SGP_SINGAPORE
Solomon Islands,Honiara,SLB_HONIARA
South Korea,Seoul,KOR_SEOUL
Sri Lanka,Sri Jayawardenapura Kotte,LKA_SRI_JAYAWARDENAPURA_KOTTE
Thailand,Bangkok,THA_BANGKOK
Vietnam,Hanoi,VNM_HANOI
Vietnam,Ho Chi Minh City,VNM_HO_CHI_MINH_CITY
