Country,City,Id
Afghanistan,Kabul,AFG_KABUL
Bahrain,Manama,BHR_MANAMA
Bangladesh,Dhaka,BGD_DHAKA
Bhutan,Thimphu,BTN_THIMPHU
Brunei,Bandar Seri Begawan,BRN_BANDAR_SERI_BEGAWAN
Cambodia,Phnom Penh,KHM_PHNOM_PENH
China,Beijing,CHN_BEIJING
China,Chongqing,CHN_CHONGQING
China,Guangzhou,CHN_GUANGZHOU
China,Shanghai,CHN_SHANGHAI
China,Shenyang,CHN_SHENYANG
China,Shenzhen,CHN_SHENZHEN
China,Tianjin,CHN_TIANJIN
China,Wuhan,CHN_WUHAN
East Timor,Dili,TLS_DILI
Fiji,Suva,FJI_SUVA
Georgia,Tbilisi,GEO_TBILISI
Hong Kong,Hong Kong,HKG_HONG_KONG
India,Ahmedabad,IND_AHMEDABAD
India,Bangalore,IND_BANGALORE
India,Chennai,IND_CHENNAI
India,Delhi,IND_DELHI
India,Hyderabad,IND_HYDERABAD
India,Kolkata,IND_KOLKATA
India,Mumbai,IND_MUMBAI
India,New Delhi,IND_NEW_DELHI
Indonesia,Jakarta,IDN_JAKARTA
Iran,Tehran,IRN_TEHRAN
Iraq,Baghdad,IRQ_BAGHDAD
Israel,Jerusalem,ISR_JERUSALEM
Japan,Nagoya,JPN_NAGOYA
Japan,Osaka,JPN_OSAKA
Japan,Tokyo,JPN_TOKYO
Jordan,Amman,JOR_AMMAN
Kazakhstan,Astana,KAZ_ASTANA
Kuwait,Kuwait City,KWT_KUWAIT_CITY
Kyrgyzstan,Bishkek,KGZ_BISHKEK
Laos,Vientiane,LAO_VIENTIANE
Lebanon,Beirut,LBN_BEIRUT
Macau,Macau,MAC_MACAU
Malaysia,Kuala Lumpur,MYS_KUALA_LUMPUR
Mongolia,Ulan Bator,MNG_ULAN_BATOR
Myanmar,Naypyidaw,MMR_NAYPYIDAW
Nepal,Kathmandu,NPL_KATHMANDU
New Caledonia,Noumea,NCL_NOUMEA
North Korea,Pyongyang,PRK_PYONGYANG
Oman,Muscat,OMN_MUSCAT
Pakistan,Islamabad,PAK_ISLAMABAD
Pakistan,Karachi,PAK_KARACHI
Pakistan,Lahore,PAK_LAHORE
Papua New Guinea,Port Moresby,PNG_PORT_MORESBY
Philippines,Manila,PHL_MANILA
Qatar,Al-Doha,QAT_AL_DOHA
Republic of China,Taipei,ROC_TAIPEI
Russia,Kazan,RUS_KAZAN
Russia,Moscow,RUS_MOSCOW
Russia,Nizhniy Novgorod,RUS_NIZHNIY_NOVGOROD
Russia,Rostov-on-Don,RUS_ROSTOV_ON_DON
Russia,Saint Petersburg,RUS_SAINT_PETERSBURG
Russia,Samara,RUS_SAMARA
Russia,Ufa,RUS_UFA
Saudi Arabia,Riyadh,SAU_RIYADH
Singapore,Singapore,SGP_SINGAPORE
Solomon Islands,Honiara,SLB_HONIARA
South Korea,Seoul,KOR_SEOUL
Sri Lanka,Sri Jayawardenapura Kotte,LKA_SRI_JAYAWARDENAPURA_KOTTE
Syria,Damascus,SYR_DAMASCUS
Tajikistan,Dushanbe,TJK_DUSHANBE
Thailand,Bangkok,THA_BANGKOK
Turkmenistan,Ashgabat,TKM_ASHGABAT
United Arab Emirates,Abu Dhabi,ARE_ABU_DHABI
Uzbekistan,Tashkent,UZB_TASHKENT
Vietnam,Hanoi,VNM_HANOI
Vietnam,Ho Chi Minh City,VNM_HO_CHI_MINH_CITY
Yemen,Aden,YEM_ADEN
Yemen,Sana'a,YEM_SANA_A
