Country,City,Id
Afghanistan,Kabul,AFG_KABUL
Albania,Tirana,ALB_TIRANA
Algeria,Algiers,DZA_ALGIERS
Algeria,Oran,DZA_ORAN
Andorra,Andorra la Vella,AND_ANDORRA_LA_VELLA
Angola,Luanda,AGO_LUANDA
Armenia,Yerevan,ARM_YEREVAN
Austria,Vienna,AUT_VIENNA
Azerbaijan,Baku,AZE_BAKU
Bahrain,Manama,BHR_MANAMA
Belarus,Minsk,BLR_MINSK
Belgium,Brussels,BEL_BRUSSELS
Benin,Cotonou,BEN_COTONOU
Benin,Porto-Novo,BEN_PORTO_NOVO
Bosnia and Herzegovina,Sarajevo,BIH_SARAJEVO
Botswana,Gaborone,BWA_GABORONE
Bulgaria,Sofia,BGR_SOFIA
Burkina Faso,Ouagadougou,BFA_OUAGADOUGOU
Burundi,Bujumbura,BDI_BUJUMBURA
Cameroon,Douala,CMR_DOUALA
Cameroon,Yaounde,CMR_YAOUNDE
Central African Republic,Bangui,CAF_BANGUI
Chad,N'Djamena,TCD_N_DJAMENA
Congo,Brazzaville,COG_BRAZZAVILLE
Cote d'Ivoire,Yamoussoukro,CIV_YAMOUSSOUKRO
Croatia,Zagreb,HRV_ZAGREB
Cyprus,Nicosia,CYP_NICOSIA
Czech Republic,Prague,CZE_PRAGUE
Democratic Republic of the Congo,Kinshasa,COD_KINSHASA
Denmark,Copenhagen,DNK_COPENHAGEN
Egypt,Alexandria,EGY_ALEXANDRIA
Egypt,Cairo,EGY_CAIRO
Equatorial Guinea,Malabo,GNQ_MALABO
Eritrea,Asmara,ERI_ASMARA
Estonia,Tallinn,EST_TALLINN
Ethiopia,Addis Ababa,ETH_ADDIS_ABABA
Finland,Helsinki,FIN_HELSINKI
France,Lyon,FRA_LYON
France,Marseille,FRA_MARSEILLE
France,Paris,FRA_PARIS
Gabon,Libreville,GAB_LIBREVILLE
Georgia,Tbilisi,GEO_TBILISI
Germany,Berlin,DEU_BERLIN
Germany,Cologne,DEU_COLOGNE
Germany,Hamburg,DEU_HAMBURG
Germany,Munich,DEU_MUNICH
Ghana,Accra,GHA_ACCRA
Ghana,Kumasi,GHA_KUMASI
Greece,Athens,GRC_ATHENS
Greenland,Nuuk,GRL_NUUK
Guernsey,St. Peter Port,GGY_ST__PETER_PORT
Guinea,Conakry,GIN_CONAKRY
Guinea-Bissau,Bissau,GNB_BISSAU
Hungary,Budapest,HUN_BUDAPEST
Iceland,Reykjavik,ISL_REYKJAVIK
Iran,Tehran,IRN_TEHRAN
Iraq,Baghdad,IRQ_BAGHDAD
Ireland,Dublin,IRL_DUBLIN
Isle of Man,Douglas,IMN_DOUGLAS
Israel,Jerusalem,ISR_JERUSALEM
Italy,Milan,ITA_MILAN
Italy,Naples,ITA_NAPLES
Italy,Rome,ITA_ROME
Italy,Turin,ITA_TURIN
Jordan,Amman,JOR_AMMAN
Kazakhstan,Astana,KAZ_ASTANA
Kenya,Nairobi,KEN_NAIROBI
Kuwait,Kuwait City,KWT_KUWAIT_CITY
Kyrgyzstan,Bishkek,KGZ_BISHKEK
Latvia,Riga,LVA_RIGA
Lebanon,Beirut,LBN_BEIRUT
Lesotho,Maseru,LSO_MASERU
Liberia,Monrovia,LBR_MONROVIA
Libya,Banghazi,LBY_BANGHAZI
Libya,Tripoli,LBY_TRIPOLI
Liechtenstein,Vaduz,LIE_VADUZ
Lithuania,Vilnius,LTU_VILNIUS
Luxembourg,Luxembourg,LUX_LUXEMBOURG
Macedonia,Skopje,MKD_SKOPJE
Madagascar,Antananarivo,MDG_ANTANANARIVO
Mali,Bamako,MLI_BAMAKO
Malta,Valletta,MLT_VALLETTA
Mauritania,Nouakchott,MRT_NOUAKCHOTT
Moldova,Chisinau,MDA_CHISINAU
Monaco,Monaco,MCO_MONACO
Montenegro,Podgorica,MNE_PODGORICA
Morocco,Casablanca,MAR_CASABLANCA
Morocco,Rabat,MAR_RABAT
Mozambique,Maputo,MOZ_MAPUTO
Namibia,Windhoek,NAM_WINDHOEK
Netherlands,Amsterdam,NLD_AMSTERDAM
Netherlands,Rotterdam,NLD_ROTTERDAM
Niger,Niamey,NER_NIAMEY
Nigeria,Abuja,NGA_ABUJA
Nigeria,Ibadan,NGA_IBADAN
Nigeria,Kaduna,NGA_KADUNA
Nigeria,Kano,NGA_KANO
Nigeria,Lagos,NGA_LAGOS
Nigeria,Maiduguri,NGA_MAIDUGURI
Nigeria,Port Harcourt,NGA_PORT_HARCOURT
Nigeria,Zaria,NGA_ZARIA
Norway,Oslo,NOR_OSLO
Oman,Muscat,OMN_MUSCAT
Pakistan,Islamabad,PAK_ISLAMABAD
Pakistan,Karachi,PAK_KARACHI
Pakistan,Lahore,PAK_LAHORE
Poland,Warsaw,POL_WARSAW
Portugal,Lisbon,PRT_LISBON
Portugal,Porto,PRT_PORTO
Qatar,Al-Doha,QAT_AL_DOHA
Romania,Bucharest,ROU_BUCHAREST
Russia,Kazan,RUS_KAZAN
Russia,Moscow,RUS_MOSCOW
Russia,Nizhniy Novgorod,RUS_NIZHNIY_NOVGOROD
Russia,Rostov-on-Don,RUS_ROSTOV_ON_DON
Russia,Saint Petersburg,RUS_SAINT_PETERSBURG
Russia,Samara,RUS_SAMARA
Russia,Ufa,RUS_UFA
Rwanda,Kigali,RWA_KIGALI
San Marino,San Marino,SMR_SAN_MARINO
Saudi Arabia,Riyadh,SAU_RIYADH
Senegal,Dakar,SEN_DAKAR
Serbia,Belgrade,SRB_BELGRADE
Sierra Leone,Freetown,SLE_FREETOWN
Slovakia,Bratislava,SVK_BRATISLAVA
Slovenia,Ljubljana,SVN_LJUBLJANA
Somalia,Mogadishu,SOM_MOGADISHU
South Africa,Cape Town,ZAF_CAPE_TOWN
South Africa,Durban,ZAF_DURBAN
South Africa,Johannesburg-Ekurhuleni,ZAF_JOHANNESBURG_EKURHULENI
South Africa,Port Elizabeth,ZAF_PORT_ELIZABETH
South Africa,Pretoria,ZAF_PRETORIA
South Africa,Vereeniging,ZAF_VEREENIGING
Spain,Barcelona,ESP_BARCELONA
Spain,Madrid,ESP_MADRID
Sudan,Khartoum,SDN_KHARTOUM
Sudan,Khartoum-Umm Durman,SDN_KHARTOUM_UMM_DURMAN
Swaziland,Mbabane,SWZ_MBABANE
Sweden,Stockholm,SWE_STOCKHOLM
Switzerland,Berne,CHE_BERNE
Switzerland,Zurich,CHE_ZURICH
Syria,Damascus,SYR_DAMASCUS
Tajikistan,Dushanbe,TJK_DUSHANBE
Tanzania,Dar es Salaam,TZA_DAR_ES_SALAAM
Tanzania,Dodoma,TZA_DODOMA
Togo,Lome,TGO_LOME
Tunisia,Tunis,TUN_TUNIS
Turkey,Ankara,TUR_ANKARA
Turkey,Istanbul,TUR_ISTANBUL
Turkmenistan,Ashgabat,TKM_ASHGABAT
Uganda,Kampala,UGA_KAMPALA
Ukraine,Dnipropetrovsk,UKR_DNIPROPETROVSK
Ukraine,Kharkiv,UKR_KHARKIV
Ukraine,Kiev,UKR_KIEV
United Arab Emirates,Abu Dhabi,ARE_ABU_DHABI
United Kingdom,Birmingham,GBR_BIRMINGHAM
United Kingdom,Glasgow,GBR_GLASGOW
United Kingdom,London,GBR_LONDON
United Kingdom,Manchester,GBR_MANCHESTER
United Kingdom,Saint Helier,GBR_SAINT_HELIER
United Kingdom,West Yorkshire,GBR_WEST_YORKSHIRE
Uzbekistan,Tashkent,UZB_TASHKENT
Vatican City,Vatican City,VAT_VATICAN_CITY
Yemen,Aden,YEM_ADEN
Yemen,Sana'a,YEM_SANA_A
Zambia,Lusaka,ZMB_LUSAKA
Zimbabwe,Harare,ZWE_HARARE
