Country,City,Id
Albania,Tirana,ALB_TIRANA
Andorra,Andorra la Vella,AND_ANDORRA_LA_VELLA
Armenia,Yerevan,ARM_YEREVAN
Austria,Vienna,AUT_VIENNA
Azerbaijan,Baku,AZE_BAKU
Belarus,Minsk,BLR_MINSK
Belgium,Brussels,BEL_BRUSSELS
Bosnia and Herzegovina,Sarajevo,BIH_SARAJEVO
Bulgaria,Sofia,BGR_SOFIA
Croatia,Zagreb,HRV_ZAGREB
Cyprus,Nicosia,CYP_NICOSIA
Czech Republic,Prague,CZE_PRAGUE
Denmark,Copenhagen,DNK_COPENHAGEN
Estonia,Tallinn,EST_TALLINN
Finland,Helsinki,FIN_HELSINKI
France,Lyon,FRA_LYON
France,Marseille,FRA_MARSEILLE
France,Paris,FRA_PARIS
Germany,Berlin,DEU_BERLIN
Germany,Cologne,DEU_COLOGNE
Germany,Hamburg,DEU_HAMBURG
Germany,Munich,DEU_MUNICH
Greece,Athens,GRC_ATHENS
Greenland,Nuuk,GRL_NUUK
Guernsey,St. Peter Port,GGY_ST__PETER_PORT
Hungary,Budapest,HUN_BUDAPEST
Iceland,Reykjavik,ISL_REYKJAVIK
Ireland,Dublin,IRL_DUBLIN
Isle of Man,Douglas,IMN_DOUGLAS
Italy,Milan,ITA_MILAN
Italy,Naples,ITA_NAPLES
Italy,Rome,ITA_ROME
Italy,Turin,ITA_TURIN
Latvia,Riga,LVA_RIGA
Liechtenstein,Vaduz,LIE_VADUZ
Lithuania,Vilnius,LTU_VILNIUS
Luxembourg,Luxembourg,LUX_LUXEMBOURG
Macedonia,Skopje,MKD_SKOPJE
Malta,Valletta,MLT_VALLETTA
Moldova,Chisinau,MDA_CHISINAU
Monaco,Monaco,MCO_MONACO
Montenegro,Podgorica,MNE_PODGORICA
Netherlands,Amsterdam,NLD_AMSTERDAM
Netherlands,Rotterdam,NLD_ROTTERDAM
Norway,Oslo,NOR_OSLO
Poland,Warsaw,POL_WARSAW
Portugal,Lisbon,PRT_LISBON
Portugal,Porto,PRT_PORTO
Romania,Bucharest,ROU_BUCHAREST
San Marino,San Marino,SMR_SAN_MARINO
Serbia,Belgrade,SRB_BELGRADE
Slovakia,Bratislava,SVK_BRATISLAVA
Slovenia,Ljubljana,SVN_LJUBLJANA
Spain,Barcelona,ESP_BARCELONA
Spain,Madrid,ESP_MADRID
Sweden,Stockholm,SWE_STOCKHOLM
Switzerland,Berne,CHE_BERNE
Switzerland,Zurich,CHE_ZURICH
Turkey,Ankara,TUR_ANKARA
Turkey,Istanbul,TUR_ISTANBUL
Ukraine,Dnipropetrovsk,UKR_DNIPROPETROVSK
Ukraine,Kharkiv,UKR_KHARKIV
Ukraine,Kiev,UKR_KIEV
United Kingdom,Birmingham,GBR_BIRMINGHAM
United Kingdom,Glasgow,GBR_GLASGOW
United Kingdom,London,GBR_LONDON
United Kingdom,Manchester,GBR_MANCHESTER
United Kingdom,Saint Helier,GBR_SAINT_HELIER
United Kingdom,West Yorkshire,GBR_WEST_YORKSHIRE
Vatican City,Vatican City,VAT_VATICAN_CITY
