Country,City,Id
Argentina,Buenos Aires,ARG_BUENOS_AIRES
Aruba,Oranjestad,ABW_ORANJESTAD
Belize,Belmopan,BLZ_BELMOPAN
Bolivia,La Paz,BOL_LA_PAZ
Bolivia,Sucre,BOL_SUCRE
Brazil,Belo Horizonte,BRA_BELO_HORIZONTE
Brazil,Brasilia,BRA_BRASILIA
Brazil,Campinas,BRA_CAMPINAS
Brazil,Curitiba,BRA_CURITIBA
Brazil,Fortaleza,BRA_FORTALEZA
Brazil,Porto Alegre,BRA_PORTO_ALEGRE
Brazil,Recife,BRA_RECIFE
Brazil,Rio de Janeiro,BRA_RIO_DE_JANEIRO
Brazil,Salvador,BRA_SALVADOR
Brazil,Sao Paulo,BRA_SAO_PAULO
Chile,Santiago,CHL_SANTIAGO
Colombia,Bogota,COL_BOGOTA
Colombia,Cali,COL_CALI
Colombia,Medellin,COL_MEDELLIN
Costa Rica,San Jose,CRI_SAN_JOSE
Cuba,Havana,CUB_HAVANA
Dominican Republic,Santo Domingo,DOM_SANTO_DOMINGO
Ecuador,Guayaquil,ECU_GUAYAQUIL
Ecuador,Quito,ECU_QUITO
El Salvador,San Salvador,SLV_SAN_SALVADOR
Falkland Islands,Stanley,FLK_STANLEY
French Guiana,Cayenne,GUF_CAYENNE
Guatemala,Guatemala City,GTM_GUATEMALA_CITY
Guyana,Georgetown,GUY_GEORGETOWN
Haiti,Port-au-Prince,HTI_PORT_AU_PRINCE
Honduras,Tegucigalpa,HND_TEGUCIGALPA
Jamaica,Kingston,JAM_KINGSTON
Mexico,Guadalajara,MEX_GUADALAJARA
Mexico,Mexico City,MEX_MEXICO_CITY
Mexico,Monterrey,MEX_MONTERREY
Mexico,Puebla,MEX_PUEBLA
Netherlands Antilles,Willemstad,ANT_WILLEMSTAD
Nicaragua,Managua,NIC_MANAGUA
Panama,Panama City,PAN_PANAMA_CITY
Paraguay,Asuncion,PRY_ASUNCION
Peru,Lima,PER_LIMA
Puerto Rico,San Juan,PRI_SAN_JUAN
Suriname,Paramaribo,SUR_PARAMARIBO
Trinidad and Tobago,Port of Spain,TTO_PORT_OF_SPAIN
Uruguay,Montevideo,URY_MONTEVIDEO
Venezuela,Caracas,VEN_CARACAS
Venezuela,Maracaibo,VEN_MARACAIBO
