Country,City,Id
Aruba,Oranjestad,ABW_ORANJESTAD
Belize,Belmopan,BLZ_BELMOPAN
Canada,Montreal,CAN_MONTREAL
Canada,Ottawa,CAN_OTTAWA
Canada,Toronto,CAN_TORONTO
Costa Rica,San Jose,CRI_SAN_JOSE
Cuba,Havana,CUB_HAVANA
Dominican Republic,Santo Domingo,DOM_SANTO_DOMINGO
El Salvador,San Salvador,SLV_SAN_SALVADOR
Guatemala,Guatemala City,GTM_GUATEMALA_CITY
Haiti,Port-au-Prince,HTI_PORT_AU_PRINCE
Honduras,Tegucigalpa,HND_TEGUCIGALPA
Jamaica,Kingston,JAM_KINGSTON
Mexico,Guadalajara,MEX_GUADALAJARA
Mexico,Mexico City,MEX_MEXICO_CITY
Mexico,Monterrey,MEX_MONTERREY
Mexico,Puebla,MEX_PUEBLA
Nicaragua,Managua,NIC_MANAGUA
Panama,Panama City,PAN_PANAMA_CITY
Puerto Rico,San Juan,PRI_SAN_JUAN
United States,Atlanta,USA_ATLANTA
United States,Baltimore,USA_BALTIMORE
United States,Boston,USA_BOSTON
United States,Chicago,USA_CHICAGO
United States,Dallas,USA_DALLAS
United States,Denver,USA_DENVER
United States,Detroit,USA_DETROIT
United States,Houston,USA_HOUSTON
United States,Los Angeles,USA_LOS_ANGELES
United States,Miami,USA_MIAMI
United States,Minneapolis,USA_MINNEAPOLIS
United States,New York,USA_NEW_YORK
United States,Philadelphia,USA_PHILADELPHIA
United States,Phoenix,USA_PHOENIX
United States,Pittsburgh,USA_PITTSBURGH
United States,Riverside-San Bernardino,USA_RIVERSIDE_SAN_BERNARDINO
United States,San Diego,USA_SAN_DIEGO
United States,San Francisco,USA_SAN_FRANCISCO
United States,Seattle,USA_SEATTLE
United States,St. Louis,USA_ST__LOUIS
United States,Tampa,USA_TAMPA
United States,Washington,USA_WASHINGTON
