Country,City,Id
Argentina,Buenos Aires,ARG_BUENOS_AIRES
Bolivia,La Paz,BOL_LA_PAZ
Bolivia,Sucre,BOL_SUCRE
Brazil,Belo Horizonte,BRA_BELO_HORIZONTE
Brazil,Brasilia,BRA_BRASILIA
Brazil,Campinas,BRA_CAMPINAS
Brazil,Curitiba,BRA_CURITIBA
Brazil,Fortaleza,BRA_FORTALEZA
Brazil,Porto Alegre,BRA_PORTO_ALEGRE
Brazil,Recife,BRA_RECIFE
Brazil,Rio de Janeiro,BRA_RIO_DE_JANEIRO
Brazil,Salvador,BRA_SALVADOR
Brazil,Sao Paulo,BRA_SAO_PAULO
Chile,Santiago,CHL_SANTIAGO
Colombia,Bogota,COL_BOGOTA
Colombia,Cali,COL_CALI
Colombia,Medellin,COL_MEDELLIN
Ecuador,Guayaquil,ECU_GUAYAQUIL
Ecuador,Quito,ECU_QUITO
Falkland Islands,Stanley,FLK_STANLEY
French Guiana,Cayenne,GUF_CAYENNE
Guyana,Georgetown,GUY_GEORGETOWN
Netherlands Antilles,Willemstad,ANT_WILLEMSTAD
Paraguay,Asuncion,PRY_ASUNCION
Peru,Lima,PER_LIMA
Suriname,Paramaribo,SUR_PARAMARIBO
Trinidad and Tobago,Port of Spain,TTO_PORT_OF_SPAIN
Uruguay,Montevideo,URY_MONTEVIDEO
Venezuela,Caracas,VEN_CARACAS
Venezuela,Maracaibo,VEN_MARACAIBO
