State,County,Id
Alabama,Autauga,AL_AUTAUGA
Alabama,Baldwin,AL_BALDWIN
Alabama,Barbour,AL_BARBOUR
Alabama,Bibb,AL_BIBB
Alabama,Blount,AL_BLOUNT
Alabama,Bullock,AL_BULLOCK
Alabama,Butler,AL_BUTLER
Alabama,Calhoun,AL_CALHOUN
Alabama,Chambers,AL_CHAMBERS
Alabama,Cherokee,AL_CHEROKEE
Alabama,Chilton,AL_CHILTON
Alabama,Choctaw,AL_CHOCTAW
Alabama,Clarke,AL_CLARKE
Alabama,Clay,AL_CLAY
Alabama,Cleburne,AL_CLEBURNE
Alabama,Coffee,AL_COFFEE
Alabama,Colbert,AL_COLBERT
Alabama,Conecuh,AL_CONECUH
Alabama,Coosa,AL_COOSA
Alabama,Covington,AL_COVINGTON
Alabama,Crenshaw,AL_CRENSHAW
Alabama,Cullman,AL_CULLMAN
Alabama,Dale,AL_DALE
Alabama,Dallas,AL_DALLAS
Alabama,Dekalb,AL_DEKALB
Alabama,Elmore,AL_ELMORE
Alabama,Escambia,AL_ESCAMBIA
Alabama,Etowah,AL_ETOWAH
Alabama,Fayette,AL_FAYETTE
Alabama,Franklin,AL_FRANKLIN
Alabama,Geneva,AL_GENEVA
Alabama,Greene,AL_GREENE
Alabama,Hale,AL_HALE
Alabama,Henry,AL_HENRY
Alabama,Houston,AL_HOUSTON
Alabama,Jackson,AL_JACKSON
Alabama,Jefferson,AL_JEFFERSON
Alabama,Lamar,AL_LAMAR
Alabama,Lauderdale,AL_LAUDERDALE
Alabama,Lawrence,AL_LAWRENCE
Alabama,Lee,AL_LEE
Alabama,Limestone,AL_LIMESTONE
Alabama,Lowndes,AL_LOWNDES
Alabama,Macon,AL_MACON
Alabama,Madison,AL_MADISON
Alabama,Marengo,AL_MARENGO
Alabama,Marion,AL_MARION
Alabama,Marshall,AL_MARSHALL
Alabama,Mobile,AL_MOBILE
Alabama,Monroe,AL_MONROE
Alabama,Montgomery,AL_MONTGOMERY
Alabama,Morgan,AL_MORGAN
Alabama,Perry,AL_PERRY
Alabama,Pickens,AL_PICKENS
Alabama,Pike,AL_PIKE
Alabama,Randolph,AL_RANDOLPH
Alabama,Russell,AL_RUSSELL
Alabama,Shelby,AL_SHELBY
Alabama,St Clair,AL_ST_CLAIR
Alabama,Sumter,AL_SUMTER
Alabama,Talladega,AL_TALLADEGA
Alabama,Tallapoosa,AL_TALLAPOOSA
Alabama,Tuscaloosa,AL_TUSCALOOSA
Alabama,Walker,AL_WALKER
Alabama,Washington,AL_WASHINGTON
Alabama,Wilcox,AL_WILCOX
Alabama,Winston,AL_WINSTON
Alaska,Aleutians East,AK_ALEUTIANS_EAST
Alaska,Anchorage,AK_ANCHORAGE
Alaska,Bethel,AK_BETHEL
Alaska,Bristol Bay,AK_BRISTOL_BAY
Alaska,Denali,AK_DENALI
Alaska,Dillingham,AK_DILLINGHAM
Alaska,Fairbanks North Star,AK_FAIRBANKS_NORTH_STAR
Alaska,Haines,AK_HAINES
Alaska,Hoonah-Angoon,AK_HOONAH_ANGOON
Alaska,Juneau,AK_JUNEAU
Alaska,Kenai Peninsula,AK_KENAI_PENINSULA
Alaska,Ketchikan Gateway,AK_KETCHIKAN_GATEWAY
Alaska,Kodiak Island,AK_KODIAK_ISLAND
