Country,City,Id
Canada,Montreal,CAN_MONTREAL
Canada,Ottawa,CAN_OTTAWA
Canada,Toronto,CAN_TORONTO
United States,Atlanta,USA_ATLANTA
United States,Baltimore,USA_BALTIMORE
United States,Boston,USA_BOSTON
United States,Chicago,USA_CHICAGO
United States,Dallas,USA_DALLAS
United States,Denver,USA_DENVER
United States,Detroit,USA_DETROIT
United States,Houston,USA_HOUSTON
United States,Los Angeles,USA_LOS_ANGELES
United States,Miami,USA_MIAMI
United States,Minneapolis,USA_MINNEAPOLIS
United States,New York,USA_NEW_YORK
United States,Philadelphia,USA_PHILADELPHIA
United States,Phoenix,USA_PHOENIX
United States,Pittsburgh,USA_PITTSBURGH
United States,Riverside-San Bernardino,USA_RIVERSIDE_SAN_BERNARDINO
United States,San Diego,USA_SAN_DIEGO
United States,San Francisco,USA_SAN_FRANCISCO
United States,Seattle,USA_SEATTLE
United States,St. Louis,USA_ST__LOUIS
United States,Tampa,USA_TAMPA
United States,Washington,USA_WASHINGTON
