1992,Bill Clinton,George H. W. Bush
AL,0,9,690080,804283,1688060
AK,0,3,78294,102000,258506
AZ,0,8,543050,572086,1487006
AR,6,0,505823,337324,950653
CA,54,0,5121325,3630574,11131721
CO,8,0,629681,562850,1569180
CT,8,0,682318,578313,1616332
DE,3,0,126054,102313,289620
DC,3,0,192619,20698,227572
FL,0,25,2072698,2173310,5314392
GA,13,0,1008966,995252,2321133
HI,4,0,179310,136822,372842
ID,0,4,137013,202645,482114
IL,22,0,2453350,1734096,5050157
IN,0,12,848420,989375,2305871
IA,7,0,586353,504891,1354607
KS,0,6,390434,449951,1157256
KY,8,0,665104,617178,1492900
LA,9,0,815971,733386,1790017
ME,4,0,263420,206504,679499
MD,10,0,988571,707094,1985046
MA,12,0,1318662,805049,2773574
MI,18,0,1871182,1554940,4274673
MN,10,0,1020997,747841,2347948
MS,0,7,400258,487793,981793
MO,11,0,1053873,811159,2391270
MT,3,0,154507,144207,410583
NE,0,5,217344,344346,739283
NV,4,0,189148,175828,506318
NH,4,0,209040,202484,537215
NJ,15,0,1436206,1356865,3343594
NM,5,0,261617,212824,569986
NY,33,0,3444450,2346649,6926925
NC,0,14,1114042,1134661,2611850
ND,0,3,99168,136244,308133
OH,21,0,1984942,1894310,4939964
OK,0,8,473066,592929,1390359
OR,7,0,621314,475757,1462643
PA,23,0,2239164,1791841,4959810
RI,4,0,213299,131601,453477
SC,0,8,479514,577507,1202527
SD,0,3,124888,136718,336254
TN,11,0,933521,841300,1982638
TX,0,32,2281815,2496071,6154018
UT,0,5,183429,322632,743998
VT,3,0,133592,88122,289701
VA,0,13,1038650,1150517,2558665
WA,11,0,993037,731234,2287565
WV,5,0,331001,241974,683677
WI,11,0,1041066,930855,2531114
WY,0,3,68160,79347,199884
